,,,,,,,,,,,,2010 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,75,4:13:00,82,9:39:00,82,12:11:00,81,22:18:00,78,30:50:00,74,46:00:00,74,52:05:00,73,55:49:00,74,72:23:00,72,82:31:00,69,91:30:00,69,98:54:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,DNF,497,"MAGEE, ERIN",9:00, ,12:05:00, ,15:41:00, ,16:55:00, ,19:44:00, ,1:28:00, ,8:17:00, ,12:36:00, ,15:11:00, ,23:10:00, ,5:59:00, ,17:57:00,,
,,,"TC - COFFEY, KAY",,26,3:05:00,17,3:36:00,34,1:14:00,30,2:49:00,35,5:44:00,28,6:49:00,18,4:19:00,27,2:35:00,31,7:59:00,26,6:49:00,71,11:58:00,,
,,,,,26,3:05:00,20,6:41:00,21,7:55:00,21,10:44:00,27,16:28:00,28,23:17:00,26,27:36:00,26,30:11:00,26,38:10:00,22,44:59:00,38,56:57:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,DNF,5150,"FRANK, GREGORY",9:00, ,13:36:00, ,18:49:00, ,20:48:00, ,6:24:00, ,13:20:00, ,0:34:00, ,9:33:00, ,13:30:00, ,3:13:00, ,11:33:00, ,17:05:00,,
,,,"LANDAU, JOHN ",,86,4:36:00,79,5:13:00,73,1:59:00,78,9:36:00,51,6:56:00,70,11:14:00,68,8:59:00,68,3:57:00,64,13:43:00,52,8:20:00,33,5:32:00,,
,,,"TC - SANDERS, JASON",,86,4:36:00,83,9:49:00,79,11:48:00,76,21:24:00,71,28:20:00,70,39:34:00,69,48:33:00,68,52:30:00,65,66:13:00,64,74:33:00,63,80:05:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,DNF,417,"WHITTAKER, GREGORY",9:00, ,13:10:00, ,17:39:00, ,19:15:00, ,7:06:00, ,13:57:00, ,7:17:00, ,12:25:00, ,16:20:00, ,5:30:00, ,12:56:00, ,18:24:00,,
,,,"TC - WEAVER, RYAN",,73,4:10:00,57,4:29:00,61,1:36:00,87,11:51:00,47,6:51:00,78,17:20:00,40,5:08:00,67,3:55:00,63,13:10:00,41,7:26:00,31,5:28:00,,
,,,,,73,4:10:00,64,8:39:00,63,10:15:00,80,22:06:00,75,28:57:00,75,46:17:00,72,51:25:00,71,55:20:00,67,68:30:00,65,75:56:00,65,81:24:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,DNF,96,"CARVILLE, ROBIN",9:00, ,12:04:00, ,15:56:00, ,17:07:00, ,19:44:00, ,0:43:00, ,7:46:00, ,14:01:00, ,16:40:00, ,23:33:00,,, ,,,
,,,"CARVILLE, WILLI",,24,3:04:00,27,3:52:00,25,1:11:00,20,2:37:00,19,4:59:00,32,7:03:00,61,6:15:00,36,2:39:00,20,6:53:00,,,,,,
,,,"TC - CARVILLE, BECKY",,24,3:04:00,24,6:56:00,25,8:07:00,21,10:44:00,20,15:43:00,25,22:46:00,35,29:01:00,33,31:40:00,28,38:33:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,DNF,4,"LANE, DEBORAH",9:00, ,12:08:00, ,16:02:00, ,17:17:00, ,20:11:00, ,1:51:00, ,8:59:00, ,13:58:00, ,17:32:00, ,2:36:00,,,,,,
,,,"TC - MYNAR, LORI",,28,3:08:00,31,3:54:00,36,1:15:00,35,2:54:00,32,5:40:00,36,7:08:00,35,4:59:00,58,3:34:00,44,9:04:00,,,,,,
,,,,,28,3:08:00,28,7:02:00,29,8:17:00,31,11:11:00,32,16:51:00,32,23:59:00,33,28:58:00,35,32:32:00,35,41:36:00,,,,,,
70,DNF,1459,"HANSEN, WEST",9:00, ,11:42:00, ,15:13:00, ,16:17:00, ,18:53:00, ,23:36:00, ,5:15:00, ,9:17:00, ,11:42:00,,,,,,,,
,,,"PFEFFERKORN, KATIE",,10,2:42:00,11,3:31:00,12,1:04:00,17,2:36:00,16,4:43:00,9,5:39:00,11,4:02:00,21,2:25:00,,,,,,,,
,,,"TC - ALANIZ, LIZET",,10,2:42:00,12,6:13:00,10,7:17:00,11,9:53:00,13,14:36:00,11,20:15:00,11,24:17:00,11,26:42:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,DNF,408,"LINDEN, RICHARD",9:00, ,13:43:00, ,17:51:00, ,20:35:00, ,1:35:00, ,11:41:00, ,20:05:00, ,11:43:00, ,18:12:00,,,,,,,,
,,,"TC - BENTLEY, RICK",,87,4:43:00,37,4:08:00,84,2:44:00,73,5:00:00,78,10:06:00,56,8:24:00,78,15:38:00,71,6:29:00,,,,,,,,
,,,,,87,4:43:00,67,8:51:00,76,11:35:00,72,16:35:00,66,26:41:00,63,35:05:00,71,50:43:00,76,57:12:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,DNF,620,"MRAZ, ZOLTAN",9:00, ,12:38:00, ,16:55:00, ,18:20:00, ,22:13:00, ,6:38:00, ,14:40:00, ,20:25:00,,,,,,,,,,
,,,"TC - HELM, TOM",,54,3:38:00,46,4:17:00,52,1:25:00,64,3:53:00,60,8:25:00,52,8:02:00,53,5:45:00,,,,,,,,,,
,,,,,54,3:38:00,52,7:55:00,52,9:20:00,58,13:13:00,51,21:38:00,50,29:40:00,52,35:25:00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,DNF,817,"COURTNEY, WOODROW",9:00, ,13:14:00, ,18:10:00, ,17:00:00, ,19:46:00, ,1:54:00, ,9:26:00, ,18:27:00,,,,,,,,,,
,,,"TC - SUTCLIFFE, JASON",,76,4:14:00,71,4:56:00,89,22:50:00,28,2:46:00,41,6:08:00,43,7:32:00,69,9:01:00,,,,,,,,,,
,,,,,76,4:14:00,73,9:10:00,89,32:00:00,87,34:46:00,82,40:54:00,78,48:26:00,78,57:27:00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,DNF,67,"CHURCHMAN, PETER",9:00, ,12:15:00, ,16:07:00, ,17:23:00, ,20:05:00, ,6:00:00,,,,,,,,,,,,,,
,,,"TC - BLACK, RANDY",,34,3:15:00,28,3:52:00,37,1:16:00,22,2:42:00,77,9:55:00,,,,,,,,,,,,,,
,,,,,34,3:15:00,32,7:07:00,31,8:23:00,29,11:05:00,49,21:00:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,DNF,1375,"LYNN, JAMES",9:00, ,12:52:00, ,17:37:00, ,19:02:00, ,23:01:00, ,8:13:00,,,,,,,,,,,,,,
,,,"BOSANKO, JOHN",,64,3:52:00,66,4:45:00,53,1:25:00,65,3:59:00,73,9:12:00,,,,,,,,,,,,,,
,,,"TC - REMMERS, DENNIS",,64,3:52:00,63,8:37:00,61,10:02:00,63,14:01:00,59,23:13:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,DNF,6538,"WILDER, ERIC",9:00, ,12:44:00, ,17:31:00, ,20:14:00, ,0:23:00, ,9:26:00,,,,,,,,,,,,,,
,,,"BRENNAN, DAN",,59,3:44:00,67,4:47:00,83,2:43:00,69,4:09:00,68,9:03:00,,,,,,,,,,,,,,
,,,"TC - WILDER, BOB",,59,3:44:00,62,8:31:00,72,11:14:00,68,15:23:00,64,24:26:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,DNF,94,"MCELROY, COLIN DEAN",9:00, ,12:55:00, ,18:21:00, ,20:12:00, ,0:15:00, ,11:52:00,,,,,,,,,,,,,,
,,,"TC - MCELROY, MICHAEL",,67,3:55:00,84,5:26:00,69,1:51:00,66,4:03:00,81,11:37:00,,,,,,,,,,,,,,
,,,,,67,3:55:00,75,9:21:00,71,11:12:00,67,15:15:00,67,26:52:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,DNF,100,"GARZA, DAVID",9:00, ,12:32:00, ,17:06:00, ,18:38:00, ,21:58:00,,,,,,,,,,,,,,,,
,,,"HORTON, CADE",,50,3:32:00,62,4:34:00,55,1:32:00,49,3:20:00,,,,,,,,,,,,,,,,
,,,"TC - GEORGE, JASON",,50,3:32:00,55,8:06:00,55,9:38:00,51,12:58:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,DNF,610,"STARTZ, NICHOLAS",9:00, ,12:39:00, ,17:04:00, ,18:25:00, ,22:05:00,,,,,,,,,,,,,,,,
,,,"TC - STARTZ, KEN",,55,3:39:00,55,4:25:00,49,1:21:00,59,3:40:00,,,,,,,,,,,,,,,,
,,,,,55,3:39:00,54,8:04:00,53,9:25:00,57,13:05:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,DNF,1116,"MEARES, JEFFREY",9:00, ,13:09:00, ,18:20:00, ,20:27:00, ,0:38:00,,,,,,,,,,,,,,,,
,,,"MEARES, JASON",,72,4:09:00,78,5:11:00,77,2:07:00,71,4:11:00,,,,,,,,,,,,,,,,
,,,"MEARES, SCOTT",,72,4:09:00,74,9:20:00,75,11:27:00,69,15:38:00,,,,,,,,,,,,,,,,
,,,"FRAZIER, DERRICK",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - MEARES, JAMES",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,DNF,1984,"PTASZENSKI, JOHN",9:00, ,13:20:00, ,19:33:00, ,21:08:00, ,1:12:00,,,,,,,,,,,,,,,,
,,,"TC - LOAFMAN, MELANIE",,79,4:20:00,90,6:13:00,57,1:35:00,67,4:04:00,,,,,,,,,,,,,,,,
,,,,,79,4:20:00,86,10:33:00,81,12:08:00,71,16:12:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,DNF,22,"ZIMMERMAN, ROGER",9:00, ,13:34:00, ,18:35:00, ,20:43:00, ,6:55:00,,,,,,,,,,,,,,,,
,,,"ELVIG, JACK",,82,4:34:00,72,5:01:00,78,2:08:00,82,10:12:00,,,,,,,,,,,,,,,,
,,,"TC - MCCORD, MARC",,82,4:34:00,81,9:35:00,78,11:43:00,79,21:55:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,DNF,2010,"FIELDS, JOE A.",9:00, ,13:45:00, ,19:33:00, ,21:11:00,,,,,,,,,,,,,,,,,,
,,,"TC - FIELDS, HEATHER",,89,4:45:00,89,5:48:00,62,1:38:00,,,,,,,,,,,,,,,,,,
,,,,,89,4:45:00,86,10:33:00,82,12:11:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,DNF,7059,"CLAY, RONNIE",9:00, ,14:06:00, ,19:50:00, ,22:15:00,,,,,,,,,,,,,,,,,,
,,,"CLAY, RONALD CODY",,92,5:06:00,87,5:44:00,81,2:25:00,,,,,,,,,,,,,,,,,,
,,,"TC - CLAY, SHAWNEE",,92,5:06:00,90,10:50:00,86,13:15:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,DNF,212,"SMITH, DAVID",9:00, ,13:30:00, ,18:33:00,,,,,,,,,,,,,,,,,,,,
,,,"OKUMUS, ERDAL",,81,4:30:00,74,5:03:00,,,,,,,,,,,,,,,,,,,,
,,,"TC - BARECJY, JAMES",,81,4:30:00,80,9:33:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,DNF,628,"SHIPLEY, DYLAN",9:00, ,13:23:00,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - SHIPLEY, PAULA",,80,4:23:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,80,4:23:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,DNF,1310,"BROWN, BARRY",9:00, ,13:44:00,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - BROWN, CINDY",,88,4:44:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,88,4:44:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,DNF,4094,"KITCHENS, MARSHALL",9:00, ,14:45:00,,,,,,,,,,,,,,,,,,,,,,
,,,"KITCHENS, DONALD",,93,5:45:00,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - KITCHENS, EVELYN",,93,5:45:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,DNF,318,"KRENEK, DAVID",9:00, ,Out Before Staples,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - KRENEK, KIM",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
